CAMERA_ID,CITY,EQUIP_TYPE,JUDGMENT_CLEAN,LONGITUDE,LATITUDE
KH0205,KS,固定式交通違規照相路段,闖紅燈,120.346679,22.521088
KH0206,KS,固定式交通違規照相路段,超速,120.356541,22.561512
KH0207,KS,固定式交通違規照相路段,超速,120.334427,22.55905
KH0208,KS,固定式交通違規照相路段,闖紅燈、超速,120.3324235,22.5616114
KH0209,KS,固定式交通違規照相路段,超速,120.354638,22.513892
KH0210,KS,固定式交通違規照相路段,闖紅燈,120.346222,22.583787
KH0211,KS,固定式交通違規照相路段,闖紅燈、超速,120.350122,22.568972
KH0212,KS,固定式交通違規照相路段,闖紅燈、超速,120.362403,22.510919
KH0213,KS,固定式交通違規照相路段,超速,120.394563,22.554989
KH0214,KS,固定式交通違規照相路段,闖紅燈,120.342561,22.569507
KH0215,KS,固定式交通違規照相路段,超速,120.340726,22.583259
KH0216,KS,固定式交通違規照相路段,闖紅燈,120.3520703,22.5666014
KH0217,KS,固定式交通違規照相路段,超速,120.359292,22.573195
KH0218,KS,固定式交通違規照相路段,闖紅燈,120.350672,22.568001
KH0219,KS,固定式交通違規照相路段,超速,120.3445213,22.5696532
KH0220,KS,固定式交通違規照相路段,闖紅燈,120.3567521,22.560759
KH0221,KS,固定式交通違規照相路段,闖紅燈、超速,120.36895,22.545479
KH0222,KS,固定式交通違規照相路段,闖紅燈、超速,120.368636,22.545891
KH0223,KS,固定式交通違規照相路段,闖紅燈,120.366042,22.54958
KH0224,KS,固定式交通違規照相路段,闖紅燈,120.370703,22.572669
KH0225,KS,固定式交通違規照相路段,闖紅燈,120.368527,22.584667
KH0226,KS,固定式交通違規照相路段,闖紅燈,120.370639,22.565833
KH0227,KS,固定式交通違規照相路段,闖紅燈,120.340471,22.680219
KH0228,KS,固定式交通違規照相路段,超速,120.390008,22.715529
KH0229,KS,固定式交通違規照相路段,超速,120.359083,22.675001
KH0230,KS,固定式交通違規照相路段,闖紅燈、超速,120.345926,22.677249
KH0231,KS,固定式交通違規照相路段,闖紅燈,120.358514,22.676082
KH0232,KS,固定式交通違規照相路段,闖紅燈,120.321556,22.692117
KH0233,KS,固定式交通違規照相路段,闖紅燈、超速,120.360516,22.703672
